cycle,timestamp,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,ci_lo,ci_hi,spearman_r_ema,spearman_p_ema,pearson_r_ema,pearson_p_ema,kendall_tau_ema,kendall_p_ema,spearman_r_best,spearman_p_best,pearson_r_best,pearson_p_best,kendall_tau_best,kendall_p_best,mean_val_acc1,std_val_acc1,mean_ema_acc1,mean_best_val_acc1,n_archs
41,2026-06-03T18:07:39.449040,0.6142857142857142,0.014833955405976968,0.25589450710728,0.35728317116728336,0.40952380952380957,0.03589723736788882,0.13718230056956554,0.8472727272727274,0.2178571428571428,0.43539267351553756,-0.1809804569671916,0.5186097581485988,0.18095238095238098,0.3794503959627968,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,88.18196745314592,0.9286886639817027,89.79086136211511,92.81575259370815,15
42,2026-06-03T18:13:34.744659,0.2928571428571428,0.289471667212401,-0.16233355382106038,0.5632454041603704,0.21904761904761905,0.2815660702955676,-0.3211025915757048,0.811608215229402,0.21983922987510138,0.43112237532913944,-0.18219973251555396,0.5157483671626849,0.210528725646512,0.27568969784851405,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,87.87658969210173,1.1924481713619313,89.96216114457829,92.81575259370815,15
43,2026-06-03T18:19:30.996998,0.4678571428571427,0.0786302311543806,-0.20946231467300677,0.45371423854255943,0.3904761904761905,0.04629247541540862,-0.1899059940431869,0.9317848311371563,0.3071428571428571,0.2654726857102779,-0.19238257251769747,0.49213652704325955,0.29523809523809524,0.13946285911906778,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,88.90341574631861,1.3001065119468247,90.09353037148594,92.81575259370815,15
44,2026-06-03T18:25:26.406109,0.36428571428571427,0.18191025904581395,-0.08210793596679464,0.7711235146715634,0.37142857142857144,0.058995845051235264,-0.28364310373171137,0.9412870921127799,0.2928571428571428,0.289471667212401,-0.1954381918938254,0.4851522909251589,0.2761904761904762,0.16857787367749338,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,89.2373765896921,1.0162792564053258,90.20156668340026,92.81575259370815,15
45,2026-06-03T18:31:26.428088,0.6499999999999999,0.008711583621912303,0.6540194129944648,0.008171512627028817,0.5047619047619049,0.008269998948239689,0.07218610273904548,0.9425583877854689,0.2645220001749188,0.34072615313686716,-0.19957111024908553,0.47578139291614563,0.22966770070528586,0.23438104887262345,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,90.12573209504687,1.1036657490309814,90.32780078647924,92.81575259370815,15
46,2026-06-03T18:37:23.131510,0.2928571428571428,0.289471667212401,-0.30612565484543314,0.26714037728251394,0.2761904761904762,0.16857787367749338,-0.37207236631659757,0.8945454545454546,0.22142857142857136,0.42771371901637,-0.18845403095738192,0.5011850744616895,0.18095238095238098,0.3794503959627968,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,91.1005794009371,0.9316003922225917,90.43417419678713,92.81575259370815,15
47,2026-06-03T18:43:17.120938,0.2285714285714285,0.41256617049636035,-0.333736495137496,0.22411495394714986,0.1619047619047619,0.43511891093211363,-0.4594594594594594,0.8234260731319553,0.25,0.36884629178393047,-0.17570584348859927,0.5310705932973523,0.21904761904761905,0.2815660702955676,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,91.75160015060241,1.1026219319022152,90.52159680388219,92.81575259370815,15
48,2026-06-03T18:49:11.136332,0.16785714285714282,0.5498555542278019,-0.2629319630994381,0.3437445890807472,0.14285714285714288,0.4950508526248027,-0.509179942543745,0.795256141661885,0.21428571428571427,0.44314093482351424,-0.14310186367718108,0.6109057727554031,0.1619047619047619,0.43511891093211363,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,92.36201054216868,0.9366032478285021,90.6128158467202,92.81575259370815,15
49,2026-06-03T18:55:03.699129,0.22142857142857136,0.42771371901637,-0.32498826618963655,0.23724335978154923,0.21904761904761905,0.2815660702955676,-0.4412021046950891,0.8345330353364367,0.2071428571428571,0.4588428049634703,-0.11528657233988723,0.6824399779179761,0.1619047619047619,0.43511891093211363,0.2821428571428571,0.30828445682005556,-0.26480457429404847,0.3401912971516752,0.23809523809523814,0.23945881568583288,92.83506944444444,0.8191159347772049,90.70758032128515,92.95178631191432,15
50,2026-06-03T19:00:59.379212,0.1964285714285714,0.4828987562716336,-0.39185744543164175,0.14859160016033135,0.14285714285714288,0.4950508526248027,-0.5217471227621484,0.8239011638555412,0.2178571428571428,0.43539267351553756,-0.08951484839338669,0.7510538028382541,0.20000000000000004,0.3282335876694342,0.2178571428571428,0.43539267351553756,-0.38077707330995003,0.16144668764321687,0.18095238095238098,0.3794503959627968,93.03816306894244,0.9039590866043254,90.78697079986613,93.05932061579651,15
